+----------------+-------------------------+-----------+--------------+-------------+
|   ЛИТКОР-З_газ | №партии                 |   к стали |   с подплавл |   в нахлест |
|            290 | п080916                 |      29.8 |         30.4 |        29.6 |
|            291 | п080916                 |      29.8 |         28.8 |        28   |
|            292 | п080916                 |      30.4 |         30.8 |        29.8 |
|            293 | п021016                 |      30.4 |         29.8 |        28.8 |
|            294 | п021016                 |      30.3 |         28.9 |        29.3 |
|            295 | п061016                 |      28.9 |         27.7 |        28.2 |
|            296 | п061016                 |      28.5 |         27.4 |        28   |
|            297 | п061016                 |      30.4 |         29.6 |        30.8 |
|            298 | п061016                 |      30.8 |         29.6 |        28.8 |
|            299 | п061016                 |      29.9 |         29.8 |        28.9 |
|            300 | п031116                 |      29   |         30.2 |        30.8 |
|            301 | п031116                 |      28.8 |         29.8 |        30.4 |
|            302 | п031116                 |      28.4 |         30.5 |        31   |
|            303 | п031116                 |      30.2 |         30.4 |        30.8 |
|            304 | п031116                 |      29.6 |         28.9 |        33.8 |
|            305 | п031116                 |      29.5 |         29.8 |        30   |
|            306 | п011216                 |      29.3 |         27.9 |        28.7 |
|            307 | п011216                 |      29.8 |         28   |        30.4 |
|            308 | п011216                 |      29.3 |         28.5 |        29.9 |
|            309 | п011216                 |      29.9 |         29.2 |        29   |
|            310 | п061216                 |      31   |         30.4 |        31.8 |
|            311 | п011216                 |      29.2 |         28.8 |        29   |
|            312 | п011216                 |      29   |         29.6 |        29.8 |
|            313 | п011216                 |      28.4 |         27.3 |        29.2 |
|            314 | п010117                 |      28.4 |         27.5 |        29.3 |
|            315 | п100117                 |      28.2 |         27.3 |        29   |
|            316 | п020117                 |      30   |         28.6 |        30.3 |
|            317 | п010117                 |      28.3 |         27.7 |        28.9 |
|            318 | п010117                 |      29   |         28.5 |        29.6 |
|            319 | п010117                 |      28.8 |         28   |        29.1 |
|            320 | п010117                 |      28.9 |         28.4 |        28.3 |
|            321 | п010117                 |      28.7 |         27.4 |        29   |
|            322 | п010117                 |      27.9 |         27.3 |        28.5 |
|            323 | п010117                 |      28.5 |         27.6 |        28.8 |
|            324 | п010117                 |      28.9 |         28.5 |        29.1 |
|            325 | п010217                 |      28.8 |         27.2 |        29.2 |
